Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0402_1005Metric",143.140000,-85.500000,90.000000,top
"C2","4u7","C_0402_1005Metric",140.920000,-82.600000,-90.000000,top
"D1","2.8V WHITE","LED_1206_3216Metric",145.000000,-84.600000,90.000000,top
"IC1","APDS-9999","APDS9999",139.985000,-85.470000,90.000000,top
"J1","Conn_01x04_Pin","JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal",131.000000,-82.000000,-90.000000,top
"J2","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",134.950000,-82.700000,0.000000,top
"R1","7.7","R_0402_1005Metric",145.050000,-87.540000,180.000000,top
"R2","100","R_0402_1005Metric",143.140000,-87.510000,-90.000000,top
"R3","10k","R_0402_1005Metric",137.760000,-83.090000,180.000000,top
"R4","10k","R_0402_1005Metric",138.520000,-87.970000,180.000000,top
"R5","10k","R_0402_1005Metric",140.510000,-87.980000,0.000000,top
